2018-09-10 18:14:35,312 utils.py [django.db.backends:91] [DEBUG]- (0.021) SELECT @@SQL_AUTO_IS_NULL; args=None
2018-09-10 18:14:35,335 utils.py [django.db.backends:91] [DEBUG]- (0.021) SET SQL_AUTO_IS_NULL = 0; args=None
2018-09-10 18:14:35,357 utils.py [django.db.backends:91] [DEBUG]- (0.021) SELECT VERSION(); args=None
2018-09-10 18:14:35,997 utils.py [django.db.backends:91] [DEBUG]- (0.020) SET SQL_AUTO_IS_NULL = 0; args=None
2018-09-10 18:14:36,019 utils.py [django.db.backends:91] [DEBUG]- (0.022) SHOW FULL TABLES; args=None
2018-09-10 18:14:36,045 utils.py [django.db.backends:91] [DEBUG]- (0.022) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2018-09-10 18:14:37,844 utils.py [django.db.backends:91] [DEBUG]- (0.020) SELECT @@SQL_AUTO_IS_NULL; args=None
2018-09-10 18:14:37,865 utils.py [django.db.backends:91] [DEBUG]- (0.020) SET SQL_AUTO_IS_NULL = 0; args=None
2018-09-10 18:14:37,890 utils.py [django.db.backends:91] [DEBUG]- (0.024) SELECT VERSION(); args=None
2018-09-10 18:14:38,069 utils.py [django.db.backends:91] [DEBUG]- (0.020) SET SQL_AUTO_IS_NULL = 0; args=None
2018-09-10 18:14:38,089 utils.py [django.db.backends:91] [DEBUG]- (0.020) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'l87q278ud6y5gdv2svi2vgl4vi4uomps' AND `django_session`.`expire_date` > '2018-09-10 18:14:37'); args=('l87q278ud6y5gdv2svi2vgl4vi4uomps', u'2018-09-10 18:14:37')
2018-09-10 18:14:38,115 utils.py [django.db.backends:91] [DEBUG]- (0.022) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1; args=(1,)
2018-09-10 18:14:38,141 utils.py [django.db.backends:91] [DEBUG]- (0.022) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'chnb767031f63365118f5f9fd381704a' AND `django_session`.`expire_date` > '2018-09-10 18:14:38'); args=('chnb767031f63365118f5f9fd381704a', u'2018-09-10 18:14:38')
2018-09-10 18:14:38,164 utils.py [django.db.backends:91] [DEBUG]- (0.020) SELECT (1) AS `a` FROM `django_session` WHERE `django_session`.`session_key` = 'chnb767031f63365118f5f9fd381704a' LIMIT 1; args=('chnb767031f63365118f5f9fd381704a',)
2018-09-10 18:14:38,206 utils.py [django.db.backends:91] [DEBUG]- (0.020) INSERT INTO `django_session` (`session_key`, `session_data`, `expire_date`) VALUES ('chnb767031f63365118f5f9fd381704a', 'OWRkMTU0OGIzNjBjNjNhOWJkMWE4ZWQ5NDhlZDY0NDdmZmRlMGFkMTp7fQ==', '2018-09-24 18:14:38'); args=('chnb767031f63365118f5f9fd381704a', u'OWRkMTU0OGIzNjBjNjNhOWJkMWE4ZWQ5NDhlZDY0NDdmZmRlMGFkMTp7fQ==', u'2018-09-24 18:14:38')
2018-09-10 18:14:38,273 utils.py [django.db.backends:91] [DEBUG]- (0.021) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1; args=(1,)
2018-09-10 18:14:38,295 utils.py [django.db.backends:91] [DEBUG]- (0.020) SELECT `accounts_userprofile`.`id`, `accounts_userprofile`.`user_id`, `accounts_userprofile`.`role`, `accounts_userprofile`.`manage` FROM `accounts_userprofile` WHERE `accounts_userprofile`.`user_id` = 1; args=(1,)
2018-09-10 18:14:38,295 customer.py [django:40] [INFO]- user: phexus_sa | [websocket]127.0.0.1 is requesting. /saltstack/reflesh/execute
2018-09-10 18:14:38,338 utils.py [django.db.backends:91] [DEBUG]- (0.021) UPDATE `django_session` SET `session_data` = 'NDNmYzJmYWFmMDU5ZDJkOTRmNjNjY2M1N2YwZmI4MGMxMWJkODY2Mzp7InNlc3Npb25pZCI6Imw4N3EyNzh1ZDZ5NWdkdjJzdmkydmdsNHZpNHVvbXBzIiwiX2F1dGhfdXNlcl9oYXNoIjoiZmRiY2U4MTE4OWQzZWViZjNiNjBmZDk2ODFhMzY2NTJlNjMyYzMzNCIsIl9hdXRoX3VzZXJfaWQiOiIxIiwiX2F1dGhfdXNlcl9iYWNrZW5kIjoiZGphbmdvLmNvbnRyaWIuYXV0aC5iYWNrZW5kcy5Nb2RlbEJhY2tlbmQifQ==', `expire_date` = '2018-09-24 18:14:38' WHERE `django_session`.`session_key` = 'chnb767031f63365118f5f9fd381704a'; args=(u'NDNmYzJmYWFmMDU5ZDJkOTRmNjNjY2M1N2YwZmI4MGMxMWJkODY2Mzp7InNlc3Npb25pZCI6Imw4N3EyNzh1ZDZ5NWdkdjJzdmkydmdsNHZpNHVvbXBzIiwiX2F1dGhfdXNlcl9oYXNoIjoiZmRiY2U4MTE4OWQzZWViZjNiNjBmZDk2ODFhMzY2NTJlNjMyYzMzNCIsIl9hdXRoX3VzZXJfaWQiOiIxIiwiX2F1dGhfdXNlcl9iYWNrZW5kIjoiZGphbmdvLmNvbnRyaWIuYXV0aC5iYWNrZW5kcy5Nb2RlbEJhY2tlbmQifQ==', u'2018-09-24 18:14:38', 'chnb767031f63365118f5f9fd381704a')
